70	1.1.0	2006-08-31	T.King	Add ObservatoryID under Instrument.	
71	1.1.0	2006-08-31	T.King	Remove Observatory ID from Numerical Data and Display Data.	
72	1.1.0	2006-08-31	T.King	Changed definition of Investigation Name.	
73	1.1.0	2006-08-31	T.King	Remove Access Right from Display Data.	
74	1.1.0	2006-08-31	T.King	Change Repository Name to Repository ID under Access Information.	
75	1.1.0	2006-08-31	T.King	Added Granule.	
76	1.1.0	2006-08-31	T.King	Added Parameter Key under Physical Parameter.	
77	1.1.0	2006-08-31	T.King	Add Release Date to Resource Header, Person, and Granule.	
78	1.1.0	2006-08-31	T.King	Changed "alias" to "alternate name".	
79	1.1.0	2006-08-31	T.King	Removed "Instrument Name" and "Observatory Name".	
80	1.1.0	2006-08-31	T.King	Added ChargeState to Particle Quantity.	
81	1.1.0	2006-08-31	T.King	Add Field Component container.	
82	1.1.0	2006-08-31	T.King	Add Statistics to Phenomenon Type.	
83	1.1.0	2006-08-31	T.King	Released.	
254					
